Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","9","Argentina","5419","Yield","515","Apples","2016","2016","hg/ha","223912","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","515","Apples","2017","2017","hg/ha","235386","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","515","Apples","2018","2018","hg/ha","213072","Fc","Calculated data"
"QC","Crops","9","Argentina","5510","Production","515","Apples","2016","2016","tonnes","458908","","Official data"
"QC","Crops","9","Argentina","5510","Production","515","Apples","2017","2017","tonnes","458908","","Official data"
"QC","Crops","9","Argentina","5510","Production","515","Apples","2018","2018","tonnes","510478","","Official data"
"QC","Crops","9","Argentina","5419","Yield","486","Bananas","2016","2016","hg/ha","209247","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","486","Bananas","2017","2017","hg/ha","209343","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","486","Bananas","2018","2018","hg/ha","209440","Fc","Calculated data"
"QC","Crops","9","Argentina","5510","Production","486","Bananas","2016","2016","tonnes","174644","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","486","Bananas","2017","2017","tonnes","174615","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","486","Bananas","2018","2018","tonnes","174585","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5419","Yield","531","Cherries","2016","2016","hg/ha","28417","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","531","Cherries","2017","2017","hg/ha","30220","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","531","Cherries","2018","2018","hg/ha","29790","Fc","Calculated data"
"QC","Crops","9","Argentina","5510","Production","531","Cherries","2016","2016","tonnes","7207","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","531","Cherries","2017","2017","tonnes","7246","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","531","Cherries","2018","2018","tonnes","7285","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5419","Yield","388","Tomatoes","2016","2016","hg/ha","393807","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","388","Tomatoes","2017","2017","hg/ha","394319","Fc","Calculated data"
"QC","Crops","9","Argentina","5419","Yield","388","Tomatoes","2018","2018","hg/ha","394832","Fc","Calculated data"
"QC","Crops","9","Argentina","5510","Production","388","Tomatoes","2016","2016","tonnes","658237","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","388","Tomatoes","2017","2017","tonnes","655861","Im","FAO data based on imputation methodology"
"QC","Crops","9","Argentina","5510","Production","388","Tomatoes","2018","2018","tonnes","653485","Im","FAO data based on imputation methodology"
"QC","Crops","21","Brazil","5419","Yield","515","Apples","2016","2016","hg/ha","308465","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","515","Apples","2017","2017","hg/ha","392355","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","515","Apples","2018","2018","hg/ha","361805","Fc","Calculated data"
"QC","Crops","21","Brazil","5510","Production","515","Apples","2016","2016","tonnes","1055383","","Official data"
"QC","Crops","21","Brazil","5510","Production","515","Apples","2017","2017","tonnes","1307642","","Official data"
"QC","Crops","21","Brazil","5510","Production","515","Apples","2018","2018","tonnes","1195007","","Official data"
"QC","Crops","21","Brazil","5419","Yield","486","Bananas","2016","2016","hg/ha","142855","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","486","Bananas","2017","2017","hg/ha","142728","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","486","Bananas","2018","2018","hg/ha","150287","Fc","Calculated data"
"QC","Crops","21","Brazil","5510","Production","486","Bananas","2016","2016","tonnes","6625211","","Official data"
"QC","Crops","21","Brazil","5510","Production","486","Bananas","2017","2017","tonnes","6584967","","Official data"
"QC","Crops","21","Brazil","5510","Production","486","Bananas","2018","2018","tonnes","6752171","","Official data"
"QC","Crops","21","Brazil","5419","Yield","388","Tomatoes","2016","2016","hg/ha","651112","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","388","Tomatoes","2017","2017","hg/ha","688145","Fc","Calculated data"
"QC","Crops","21","Brazil","5419","Yield","388","Tomatoes","2018","2018","hg/ha","719404","Fc","Calculated data"
"QC","Crops","21","Brazil","5510","Production","388","Tomatoes","2016","2016","tonnes","4166789","","Official data"
"QC","Crops","21","Brazil","5510","Production","388","Tomatoes","2017","2017","tonnes","4225414","","Official data"
"QC","Crops","21","Brazil","5510","Production","388","Tomatoes","2018","2018","tonnes","4110242","","Official data"
"QC","Crops","231","United States of America","5419","Yield","515","Apples","2016","2016","hg/ha","391856","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","515","Apples","2017","2017","hg/ha","394569","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","515","Apples","2018","2018","hg/ha","394802","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","515","Apples","2016","2016","tonnes","5214040","","Official data"
"QC","Crops","231","United States of America","5510","Production","515","Apples","2017","2017","tonnes","5240670","","Official data"
"QC","Crops","231","United States of America","5510","Production","515","Apples","2018","2018","tonnes","4652500","","Official data"
"QC","Crops","231","United States of America","5419","Yield","486","Bananas","2016","2016","hg/ha","115204","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","486","Bananas","2017","2017","hg/ha","158413","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","486","Bananas","2018","2018","hg/ha","163756","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2016","2016","tonnes","3387","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2017","2017","tonnes","3992","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2018","2018","tonnes","4274","Im","FAO data based on imputation methodology"
"QC","Crops","231","United States of America","5419","Yield","531","Cherries","2016","2016","hg/ha","86902","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","531","Cherries","2017","2017","hg/ha","108960","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","531","Cherries","2018","2018","hg/ha","90828","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","531","Cherries","2016","2016","tonnes","315454","","Official data"
"QC","Crops","231","United States of America","5510","Production","531","Cherries","2017","2017","tonnes","398140","","Official data"
"QC","Crops","231","United States of America","5510","Production","531","Cherries","2018","2018","tonnes","312430","","Official data"
"QC","Crops","231","United States of America","5419","Yield","388","Tomatoes","2016","2016","hg/ha","911398","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","388","Tomatoes","2017","2017","hg/ha","886625","Fc","Calculated data"
"QC","Crops","231","United States of America","5419","Yield","388","Tomatoes","2018","2018","hg/ha","968079","Fc","Calculated data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2016","2016","tonnes","12877049","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2017","2017","tonnes","11141862","","Official data"
"QC","Crops","231","United States of America","5510","Production","388","Tomatoes","2018","2018","tonnes","12612139","","Official data"
